result_id,module,analysis_population,stratum_variable,stratum_value,metric,category,numerator,denominator,unknown_count,percentage,value,unit,notes,source_table,framework
OUT0004,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,resource_use,1,304,22,0.328947,,,,T07_COREVEN_COVERAGE.csv,COREVEN
OUT0005,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,adverse_events,45,304,18,14.802632,,,,T07_COREVEN_COVERAGE.csv,COREVEN
OUT0006,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,YES,0,304,22,0.0,,,,T09_OUTCOME_COVERAGE_SCORES.csv,COREVEN
OUT0007,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,NO,282,304,22,92.763158,,,,T09_OUTCOME_COVERAGE_SCORES.csv,COREVEN
OUT0008,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,UNKNOWN,22,304,22,7.236842,,,,T09_OUTCOME_COVERAGE_SCORES.csv,COREVEN
OUT0009,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,healing,129,304,36,42.434211,,,,T07_COREVEN_COVERAGE.csv,COREVEN
OUT0010,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,pain,115,304,25,37.828947,,,,T07_COREVEN_COVERAGE.csv,COREVEN
OUT0011,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,quality_of_life,79,304,40,25.986842,,,,T07_COREVEN_COVERAGE.csv,COREVEN
OUT0012,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,resource_use,17,304,58,5.592105,,,,T07_COREVEN_COVERAGE.csv,COREVEN
OUT0013,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,adverse_events,112,304,32,36.842105,,,,T07_COREVEN_COVERAGE.csv,COREVEN
OUT0014,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,ALL_DOMAINS_PRESENT,YES,2,304,61,0.657895,,,,T09_OUTCOME_COVERAGE_SCORES.csv,COREVEN
OUT0015,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,ALL_DOMAINS_PRESENT,NO,241,304,61,79.276316,,,,T09_OUTCOME_COVERAGE_SCORES.csv,COREVEN
OUT0016,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,ALL_DOMAINS_PRESENT,UNKNOWN,61,304,61,20.065789,,,,T09_OUTCOME_COVERAGE_SCORES.csv,COREVEN
OUT0017,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,pressure_injury_occurrence,34,184,22,18.478261,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0018,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,precursor_signs_symptoms,3,184,23,1.630435,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0019,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,mobility,16,184,23,8.695652,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0020,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,acceptability_comfort,6,184,23,3.26087,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0021,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,adherence_compliance,1,184,23,0.543478,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0022,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,adverse_events_safety,11,184,23,5.978261,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0023,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,YES,0,184,23,0.0,,,,T09_OUTCOME_COVERAGE_SCORES.csv,OUTPUTS
