Audit_ID,Object,Source,Numerator,Denominator,Unknown_Count,Percentage,Status,Rule
DEN_CHR00016,CHR00016,T11_TRIAL_CHARACTERISTICS.csv,698,1218,1,57.307061,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00017,CHR00017,T11_TRIAL_CHARACTERISTICS.csv,519,1218,1,42.610837,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00018,CHR00018,T11_TRIAL_CHARACTERISTICS.csv,1,1218,1,0.082102,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00019,CHR00019,T11_TRIAL_CHARACTERISTICS.csv,29,1218,199,2.380952,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00020,CHR00020,T11_TRIAL_CHARACTERISTICS.csv,590,1218,199,48.440066,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00021,CHR00021,T11_TRIAL_CHARACTERISTICS.csv,7,1218,199,0.574713,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00022,CHR00022,T11_TRIAL_CHARACTERISTICS.csv,47,1218,199,3.858785,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00023,CHR00023,T11_TRIAL_CHARACTERISTICS.csv,165,1218,199,13.546798,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00024,CHR00024,T11_TRIAL_CHARACTERISTICS.csv,5,1218,199,0.410509,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00025,CHR00025,T11_TRIAL_CHARACTERISTICS.csv,129,1218,199,10.591133,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00026,CHR00026,T11_TRIAL_CHARACTERISTICS.csv,199,1218,199,16.338259,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00027,CHR00027,T11_TRIAL_CHARACTERISTICS.csv,47,1218,199,3.858785,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00028,CHR00028,T11_TRIAL_CHARACTERISTICS.csv,440,1218,0,36.124795,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00029,CHR00029,T11_TRIAL_CHARACTERISTICS.csv,134,1218,0,11.001642,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00030,CHR00030,T11_TRIAL_CHARACTERISTICS.csv,644,1218,0,52.873563,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00031,CHR00031,T11_TRIAL_CHARACTERISTICS.csv,1218,1218,0,100.0,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00032,CHR00032,T11_TRIAL_CHARACTERISTICS.csv,1218,1218,0,100.0,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00033,CHR00033,T11_TRIAL_CHARACTERISTICS.csv,407,1218,2,33.415435,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00034,CHR00034,T11_TRIAL_CHARACTERISTICS.csv,2,1218,2,0.164204,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00035,CHR00035,T11_TRIAL_CHARACTERISTICS.csv,809,1218,2,66.420361,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00036,CHR00036,T11_TRIAL_CHARACTERISTICS.csv,74,1218,0,6.075534,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
