NCT_ID,Measure_Title,Category,Participant_Count,Selected_Group_ID,Unit,JSON_Pointer
NCT04046120,"Age, Categorical",>=65 years,85.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT04136951,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT04136951,"Age, Categorical",Between 18 and 65 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT04136951,"Age, Categorical",>=65 years,1915.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT04240574,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT04240574,"Age, Categorical",Between 18 and 65 years,1.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT04240574,"Age, Categorical",>=65 years,1.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT04241250,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT04241250,"Age, Categorical",Between 18 and 65 years,4.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT04241250,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT04577183,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT04577183,"Age, Categorical",Between 18 and 65 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT04577183,"Age, Categorical",>=65 years,13.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT04689009,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT04689009,"Age, Categorical",Between 18 and 65 years,17.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT04689009,"Age, Categorical",>=65 years,66.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT04854057,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT04854057,"Age, Categorical",Between 18 and 65 years,3.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT04854057,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT04934137,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT04934137,"Age, Categorical",Between 18 and 65 years,26.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT04934137,"Age, Categorical",>=65 years,4.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT05149989,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT05149989,"Age, Categorical",Between 18 and 65 years,50.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT05149989,"Age, Categorical",>=65 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT05194969,Hurley Stage,Hurley I,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/7/classes/0/categories/0
NCT05194969,Hurley Stage,Hurley II,48.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/7/classes/0/categories/1
NCT05194969,Hurley Stage,Hurley III,25.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/7/classes/0/categories/2
NCT05194969,Hurley Stage,Hurley Unreported,1.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/7/classes/0/categories/3
NCT05354206,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT05354206,"Age, Categorical",Between 18 and 65 years,20.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT05354206,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT05462912,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT05462912,"Age, Categorical",Between 18 and 65 years,60.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
