Population,Dimension,Category,Count,Denominator,Unknown_Count,Percent,Small_Denominator_Flag
PI_PREVENTION,Overall_Status,WITHDRAWN,4,184,26,2.173913,NO
PI_PREVENTION,Period,2008-2016,49,184,0,26.630435,NO
PI_PREVENTION,Period,2017-2018,18,184,0,9.782609,NO
PI_PREVENTION,Period,2019-2025,117,184,0,63.586957,NO
PI_PREVENTION,Adult_Relevant_Registry,YES,184,184,0,100.0,NO
COS_ADULT_COMPARATIVE,Study_Type,INTERVENTIONAL,359,359,0,100.0,NO
COS_ADULT_COMPARATIVE,Randomized,NO,24,359,0,6.685237,NO
COS_ADULT_COMPARATIVE,Randomized,YES,335,359,0,93.314763,NO
COS_ADULT_COMPARATIVE,Industry_Role,INDUSTRY_COLLABORATOR,21,359,0,5.849582,NO
COS_ADULT_COMPARATIVE,Industry_Role,INDUSTRY_LEAD,116,359,0,32.311978,NO
COS_ADULT_COMPARATIVE,Industry_Role,NO_RECORDED_INDUSTRY_ROLE,222,359,0,61.83844,NO
COS_ADULT_COMPARATIVE,Device_Study,NO,205,359,0,57.103064,NO
COS_ADULT_COMPARATIVE,Device_Study,YES,154,359,0,42.896936,NO
COS_ADULT_COMPARATIVE,Country_Scope,MULTICOUNTRY,36,359,30,10.027855,NO
COS_ADULT_COMPARATIVE,Country_Scope,SINGLE_COUNTRY,293,359,30,81.615599,NO
COS_ADULT_COMPARATIVE,Country_Scope,UNKNOWN,30,359,30,8.356546,NO
COS_ADULT_COMPARATIVE,US_Center,NO,200,359,30,55.710306,NO
COS_ADULT_COMPARATIVE,US_Center,UNKNOWN,30,359,30,8.356546,NO
COS_ADULT_COMPARATIVE,US_Center,YES,129,359,30,35.933148,NO
COS_ADULT_COMPARATIVE,Registration_Timing,PROSPECTIVE_OR_SAME_DAY,207,359,0,57.660167,NO
COS_ADULT_COMPARATIVE,Registration_Timing,RETROSPECTIVE,152,359,0,42.339833,NO
COS_ADULT_COMPARATIVE,Overall_Status,ACTIVE_NOT_RECRUITING,10,359,63,2.785515,NO
