Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Coverage_Window,Registration_Timing,Domain
OUTPUTS_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_mobility,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,11,104,91,13,10.576923,12.087912,10.576923,23.076923,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,mobility
OUTPUTS_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_acceptability_comfort,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,6,104,91,13,5.769231,6.593407,5.769231,18.269231,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,acceptability_comfort
OUTPUTS_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_adherence_compliance,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,0,104,91,13,0.0,0.0,0.0,12.5,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,adherence_compliance
OUTPUTS_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_adverse_events_safety,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,6,104,91,13,5.769231,6.593407,5.769231,18.269231,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,adverse_events_safety
OUTPUTS_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,0,104,91,13,0.0,0.0,0.0,12.5,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,ALL_DOMAINS_PRESENT
OUTPUTS_PRIMARY_REGISTERED_RETROSPECTIVE_pressure_injury_occurrence,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,21,80,71,9,26.25,29.577465,26.25,37.5,11.25,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,RETROSPECTIVE,pressure_injury_occurrence
OUTPUTS_PRIMARY_REGISTERED_RETROSPECTIVE_precursor_signs_symptoms,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,1,80,71,9,1.25,1.408451,1.25,12.5,11.25,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,RETROSPECTIVE,precursor_signs_symptoms
OUTPUTS_PRIMARY_REGISTERED_RETROSPECTIVE_mobility,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,5,80,71,9,6.25,7.042254,6.25,17.5,11.25,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,RETROSPECTIVE,mobility
OUTPUTS_PRIMARY_REGISTERED_RETROSPECTIVE_acceptability_comfort,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,1,80,71,9,1.25,1.408451,1.25,12.5,11.25,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,RETROSPECTIVE,acceptability_comfort
OUTPUTS_PRIMARY_REGISTERED_RETROSPECTIVE_adherence_compliance,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,1,80,71,9,1.25,1.408451,1.25,12.5,11.25,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,RETROSPECTIVE,adherence_compliance
