Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Final_COS_Electronic_Publication_Date,Temporal_Scenario,Coverage_Window,Domain
OUTPUTS_POST_FINAL_COS_0_MONTH_ANY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,0,64,47,17,0.0,0.0,0.0,26.5625,26.5625,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,ANY_REGISTERED,adherence_compliance
OUTPUTS_POST_FINAL_COS_0_MONTH_ANY_REGISTERED_adverse_events_safety,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,7,64,50,14,10.9375,14.0,10.9375,32.8125,21.875,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,ANY_REGISTERED,adverse_events_safety
OUTPUTS_POST_FINAL_COS_0_MONTH_ANY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,0,64,47,17,0.0,0.0,0.0,26.5625,26.5625,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,ANY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_ANY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,17,56,41,15,30.357143,41.463415,30.357143,57.142857,26.785714,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,ANY_REGISTERED,pressure_injury_occurrence
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_ANY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,0,56,39,17,0.0,0.0,0.0,30.357143,30.357143,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,ANY_REGISTERED,precursor_signs_symptoms
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_ANY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,13,56,43,13,23.214286,30.232558,23.214286,46.428571,23.214286,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,ANY_REGISTERED,mobility
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_ANY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,9,56,43,13,16.071429,20.930233,16.071429,39.285714,23.214286,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,ANY_REGISTERED,acceptability_comfort
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_ANY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,0,56,39,17,0.0,0.0,0.0,30.357143,30.357143,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,ANY_REGISTERED,adherence_compliance
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_ANY_REGISTERED_adverse_events_safety,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,6,56,42,14,10.714286,14.285714,10.714286,35.714286,25.0,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,ANY_REGISTERED,adverse_events_safety
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_ANY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,0,56,39,17,0.0,0.0,0.0,30.357143,30.357143,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,ANY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_ANY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,16,49,35,14,32.653061,45.714286,32.653061,61.22449,28.571429,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,ANY_REGISTERED,pressure_injury_occurrence
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_ANY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,0,49,33,16,0.0,0.0,0.0,32.653061,32.653061,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,ANY_REGISTERED,precursor_signs_symptoms
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_ANY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,11,49,37,12,22.44898,29.72973,22.44898,46.938776,24.489796,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,ANY_REGISTERED,mobility
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_ANY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,8,49,37,12,16.326531,21.621622,16.326531,40.816327,24.489796,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,ANY_REGISTERED,acceptability_comfort
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_ANY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,0,49,33,16,0.0,0.0,0.0,32.653061,32.653061,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,ANY_REGISTERED,adherence_compliance
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_ANY_REGISTERED_adverse_events_safety,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,5,49,36,13,10.204082,13.888889,10.204082,36.734694,26.530612,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,ANY_REGISTERED,adverse_events_safety
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_ANY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,0,49,33,16,0.0,0.0,0.0,32.653061,32.653061,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,ANY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_DATE_INDETERMINATE_ANY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,ANY_REGISTERED,pressure_injury_occurrence
OUTPUTS_DATE_INDETERMINATE_ANY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,ANY_REGISTERED,precursor_signs_symptoms
OUTPUTS_DATE_INDETERMINATE_ANY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,ANY_REGISTERED,mobility
OUTPUTS_DATE_INDETERMINATE_ANY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,ANY_REGISTERED,acceptability_comfort
OUTPUTS_DATE_INDETERMINATE_ANY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,ANY_REGISTERED,adherence_compliance
OUTPUTS_DATE_INDETERMINATE_ANY_REGISTERED_adverse_events_safety,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,ANY_REGISTERED,adverse_events_safety
OUTPUTS_DATE_INDETERMINATE_ANY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,ANY_REGISTERED,ALL_DOMAINS_PRESENT
